Accessory_ID,Car Brand,Car Model,Accessory Name,Accessory Price,Accessory Description,Compatible Cars,Top 5 Reviews,Brand_Normalized,Sentiment_VADER,Sentiment_Polarity,Sentiment_Subjectivity,Sentiment_Score,Sentiment_Label,Sentiment_Strength,Key_Phrases,Category,Aspect_Quality_Score,Aspect_Quality_Mentions,Aspect_Durability_Score,Aspect_Durability_Mentions,Aspect_Installation_Score,Aspect_Installation_Mentions,Aspect_Design_Score,Aspect_Design_Mentions,Aspect_Compatibility_Score,Aspect_Compatibility_Mentions,Aspect_Value_Score,Aspect_Value_Mentions,Aspect_Comfort_Score,Aspect_Comfort_Mentions,Aspect_Performance_Score,Aspect_Performance_Mentions,Dominant_Emotion,Emotion_Happy_Score,Emotion_Satisfied_Score,Emotion_Disappointed_Score,Emotion_Angry_Score,Emotion_Neutral_Score,Key_Strengths,Key_Weaknesses,Recommendation_Explanation,Overall_Quality_Score,Accessory_Name_Normalized,Car_Brand_Normalized,Car_Model_Normalized,Compatible_Cars_Normalized
1,Toyota,Land Cruiser Prado,"100% Water Resistant Car Body Cover With Mirror (triple Stitched, Full Bottom Elastic, Black)",375.2,"heavy-duty car cover with triple stitching, mirror pockets, full elastic hem, adjustable buckle. made from oxford polyester, fits land cruiser prado, protects vs water, dust, uv rays.",toyota land cruiser prado,"Superb Quality Product: strong protection, waterproof, easy install. | Ok, cloth quality good but not waterproof. | Best for ignis car at reasonable price. | Not waterproof, car can get wet. | Good product, good fit & user-friendly.",toyota,0.9185,0.5424242424242425,0.5969696969696969,0.768069696969697,positive,Very Strong,"['good', 'best', 'quality']",Exterior,0.765,1,0.8834,1,0.9559,2,0.0,0,0.91,2,0.6369,2,0.0,0,0.0,0,satisfied,0.2,0.8,0.0,0.0,0.0,"high quality, great value, durable",,⭐ Highly rated with 0.77 sentiment score | 🔧 Easy to install | ⚒️ Known for durability | 📁 Exterior accessory | ✅ Customer satisfaction high | ✨ High Quality | ✨ Great Value,0.7770978787878788,"100% water resistant car body cover with mirror (triple stitched, full bottom elastic, black)",toyota,land cruiser prado,toyota land cruiser prado
2,Citroen,Ec3,10d Car Floor Mat Full Set,5999.0,"custom fitted faux leather antiskid, 100% waterproof and washable.",citroen ec3,High Quality & Great Value for Money!|hard kambal 10d guys|splendid product|just loved it|Best quality,citroen,0.8932,0.5533333333333333,0.6966666666666667,0.7572533333333333,positive,Very Strong,"['great', 'best', 'quality', 'love']",Interior,0.8932,1,0.0,0,0.0,0,0.0,0,0.0,0,0.8932,3,0.8932,1,0.0,0,happy,1.0,0.0,0.0,0.0,0.0,"high quality, great value",,⭐ Highly rated with 0.76 sentiment score | 🏆 Praised for high quality | 💰 Great value for money | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality | ✨ Great Value,0.6601813333333333,10d car floor mat full set,citroen,ec3,citroen ec3
3,Mahindra,Xev 9e,10d Car Foot Mat,6999.0,"premium leather, luxurious, waterproof, custom fitted car floor mat - black. anti-slip, easy to clean, multi-layered, durable.",mahindra xev 9e 2025 onwards,"Aditya Thakur: These mats are definitely value for money, offering both style and durability at a reasonable price|RAHUL SINGH: Excellent Quality and Perfect Fit!|Rajesh M: Kia Sonet - Heal mat by Mr. Mattie|Suraj: Great Quality & Fit, Perfect Protection. Great Seller support for installation!|aruna dhingra: Good looks wise and quality wise also",mahindra,0.9873,0.6636363636363637,0.7636363636363637,0.8578345454545454,positive,Very Strong,"['excellent', 'great', 'good', 'perfect', 'quality']",Interior,0.9873,1,0.9577,1,0.9873,3,0.9873,3,0.9577,2,0.9577,5,0.945,1,0.0,0,happy,0.7143,0.2857,0.0,0.0,0.0,"high quality, great value, perfect fit",,⭐ Highly rated with 0.86 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality | ✨ Great Value,0.9266338181818182,10d car foot mat,mahindra,xev 9e,mahindra xev 9e 2025 onwards
4,AUDI,Rs 5,10d Car Foot Mat (tan With Black),6999.0,"10d premium leather, luxurious, waterproof, anti-slip, custom fit, easy install/clean, advanced protection.",audi rs 5 and others,"['value for money, offering style/durability', 'Excellent Quality and Perfect Fit!', 'Heal mat by Mr. Mattie', 'Great Quality & Fit, Perfect Protection', 'Good looks and quality']",audi,0.9771,0.7714285714285714,0.7357142857142858,0.8948314285714285,positive,Very Strong,"['excellent', 'great', 'good', 'perfect', 'quality']",Interior,0.9771,1,0.9117,1,0.9771,1,0.9771,3,0.9771,2,0.9117,3,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,"high quality, great value, perfect fit",,⭐ Highly rated with 0.89 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality | ✨ Great Value,0.9245725714285712,10d car foot mat (tan with black),audi,rs 5,audi rs 5 and others
5,Jaguar,Xjl (2015-2025),10d Premium Imported Car Floor Mat,6099.0,"luxury leather, 10d premium, waterproof, dustproof, full coverage, double layered with grass mat, custom fit, black red.",jaguar xjl (2015-2025),"Innova HYCROSS|Good product|Great quality, perfect fit, and serious value for money—what more could you ask for?|Excellent buy|It’s best product in the Market",jaguar,0.91,0.5133333333333333,0.5733333333333333,0.7513333333333334,positive,Very Strong,"['excellent', 'great', 'good', 'best', 'perfect']",Interior,0.91,1,0.0,0,0.91,1,0.0,0,0.91,2,0.91,3,0.0,0,0.0,0,happy,0.75,0.25,0.0,0.0,0.0,"high quality, great value, perfect fit",,⭐ Highly rated with 0.75 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality | ✨ Great Value,0.6645333333333334,10d premium imported car floor mat,jaguar,xjl (2015-2025),jaguar xjl (2015-2025)
6,Hyundai,Exter,10h2 Car Headlight Anti-rain Guard,329.0,"self adhesive tempered glass, waterproof anti-fog stickers, compatible with hyundai exter, pack of 1.",hyundai exter,Good product,hyundai,0.4404,0.7,0.6000000000000001,0.54424,positive,Strong,['good'],Lighting,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,overall positive,,✅ Positively reviewed (0.54 sentiment) | 📁 Lighting accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.217696,10h2 car headlight anti-rain guard,hyundai,exter,hyundai exter
7,Lexus,Rx 350h (2024 Onwards),11d Custom Fitted Car Floor Mat,9999.0,"11-layer premium leatherette, waterproof, anti-skid, curly mat, high quality fit, easy to clean.",lexus rx 350h (2024 onwards),"['Great fit and quality for VW Tiguan.', 'Fine quality and practical design.', 'Good quality mats.', 'Looks good! Highly recommended.']",lexus,0.9391,0.5586111111111112,0.5650000000000001,0.7869044444444444,positive,Very Strong,"['great', 'good', 'quality', 'recommended']",Interior,0.8834,1,0.0,0,0.765,1,0.6114,3,0.765,1,0.0,0,0.0,0,0.0,0,satisfied,0.2,0.8,0.0,0.0,0.0,perfect fit,,⭐ Highly rated with 0.79 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.5797817777777778,11d custom fitted car floor mat,lexus,rx 350h (2024 onwards),lexus rx 350h (2024 onwards)
9,AUDI,Rs 5,11d Custom Fitted Car Floor Mat (black Black),9999.0,"11d luxury mats with detachable curly mat, multi-layered, waterproof, anti-skid, premium leatherette.",audi rs 5 (vehicle specific),"['Extremely good fit and quality for VW TIGUAN', 'Fine Quality and Practical Design', 'Good Quality Mats', 'Looks good! Highly recommended', 'Good Quality']",audi,0.9527,0.5645238095238095,0.5485714285714286,0.7974295238095238,positive,Very Strong,"['good', 'quality', 'recommended']",Interior,0.9527,1,0.0,0,0.9163,1,0.9163,3,0.9163,1,0.0,0,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,overall positive,,⭐ Highly rated with 0.80 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.6047818095238096,11d custom fitted car floor mat (black black),audi,rs 5,audi rs 5 (vehicle specific)
11,Volkswagen,Virtus,"3 Pack Screen Guard (10"" Infotainment + 8"" Cluster + AC Panel)",499.0,"combo provides scratch protection, 9h hardness, ultra-clear visuals, bubble-free install, custom fit for virtus 2023+.",volkswagen virtus (2023+),Good quality and fits well|Odo cluster shape mismatch|Good product|Cutouts not accurate|Good and fit ??,volkswagen,0.2846,0.55,0.5,0.39076,positive,Moderate,"['good', 'quality']",Protection,0.1999,1,0.0,0,0.1999,1,0.0,0,0.1999,3,0.0,0,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,overall positive,,📁 Protection accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.216274,"3 pack screen guard (10"" infotainment + 8"" cluster + ac panel)",volkswagen,virtus,volkswagen virtus (2023+)
12,Aston Martin,Vantage,"30w Car Charger - Original Qc Adapter Type C 3.0a High Speed Fast Turbo Charge Qc 3.0 Smart Dualport With 1m Type-c Charging & Sync Cable (black, Pr.a)",499.0,"fast charging, dual port, ce/fcc/rohs certified, built-in protection system, universal compatibility, 20% faster reading, 15% more spring fixation.",aston martin vantage & android/ios mobile devices,No customer reviews,aston martin,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,"30w car charger - original qc adapter type c 3.0a high speed fast turbo charge qc 3.0 smart dualport with 1m type-c charging & sync cable (black, pr.a)",aston martin,vantage,aston martin vantage & android/ios mobile devices
